session_id,user_id,role,message,created_at
S001,U001,user,你好啊！我想问那个…麒麟 怎么装软件呀,2026-06-03T08:00:00
S001,U001,assistant,嗯好的呢～您可以打开应用商店，然后搜索软件名称即可安装,2026-06-03T08:01:05
S001,U001,user,不是，是 .deb 包啦 #离线安装#,2026-06-03T08:02:00
S002,U002,user,帮我写会议纪要，呃，要简短，别超过200字,2026-06-03T09:00:00
S002,U002,assistant,好的，请提供会议内容,2026-06-03T09:00:02
S002,U002,user,【内容】张三：嗯…项目延期…李四：那就加人,2026-06-03T09:01:00
S003,U003,user,,2026-06-03T10:00:00
S003,U003,assistant,您好，请问需要什么帮助,2026-06-03T10:00:01
S004,,user,密码忘了怎么办？138****5678,2026-06-03T11:00:00
S004,,assistant,请联系管理员重置,2026-06-03T11:00:05
